cohort,mo,n,rate
2016-09,0,4,100.0
2016-10,0,321,100.0
2016-12,0,1,100.0
2017-01,0,765,100.0
2017-02,0,1755,100.0
2017-03,0,2642,100.0
2017-04,0,2372,100.0
2017-05,0,3625,100.0
2017-06,0,3180,100.0
2017-07,0,3947,100.0
2017-08,0,4246,100.0
2017-09,0,4212,100.0
2017-10,0,4561,100.0
2017-11,0,7430,100.0
2017-12,0,5603,100.0
2018-01,0,7166,100.0
2018-02,0,6569,100.0
2018-03,0,7115,100.0
2018-04,0,6882,100.0
2018-05,0,6814,100.0
2018-06,0,6128,100.0
2018-07,0,6230,100.0
2018-08,0,6460,100.0
2018-09,0,14,100.0
2018-10,0,4,100.0
